DIST,Annual,Kharif,Rabi,Summer,Autumn
Chittoor,912.4423423423423,328.9369369369369,407.6315315315316,149.2612612612613,341.84864864864863
Churachandpur,1704.8018018018017,768.6612612612612,172.8918918918919,715.1621621621623,161.73963963963962
Churu,365.6657657657658,270.8981981981982,13.403603603603603,66.26936936936936,9.784684684684684
Coimbatore,997.3234234234235,343.27927927927925,362.87297297297306,263.7144144144144,311.15675675675675
Cuddalore,1239.4072072072074,311.2756756756757,735.4675675675674,131.97117117117116,555.8666666666666
Cuddapah,780.8342342342341,319.05585585585584,315.55045045045046,129.95855855855854,275.754954954955
Cuttack,1501.368468468468,917.0342342342344,204.3936936936937,343.2558558558559,198.9657657657658
Dadra and Nagar Haveli,2173.387387387387,1753.790990990991,71.84144144144146,344.5018018018018,70.07657657657658
Dakshin Dinajpur,1841.5243243243244,1086.1216216216217,133.8216216216216,596.7171171171171,130.61981981981984
Dakshin Kannad,3635.2045045045047,2261.6729729729727,364.40810810810814,1001.5702702702702,346.400900900901
Daman,1992.5162162162164,1586.98018018018,58.372072072072065,344.21981981981986,57.057657657657664
Damoh,1165.8162162162162,930.6828828828826,52.93693693693695,148.63603603603605,45.08468468468468
Dantewada,1495.1882882882885,1031.4531531531532,141.36846846846848,305.14144144144143,134.52792792792792
Darbhanga,1199.1162162162161,814.4693693693695,75.4063063063063,286.3612612612613,72.53333333333332
Darjiling,3239.788288288288,1931.888288288288,176.17747747747748,1094.9387387387385,169.49189189189184
Darrang (Mangaldai),1978.1531531531532,954.7288288288289,140.46216216216217,846.9639639639639,132.75405405405405
Datia,813.6180180180181,666.2108108108108,39.379279279279274,87.27297297297298,33.92162162162162
Daulpur,701.0144144144143,579.8567567567568,30.339639639639646,72.70720720720722,25.14954954954955
Dausa,630.3936936936938,516.7099099099099,24.87207207207207,72.10360360360362,19.527927927927927
Davanagere,617.5207207207208,283.80990990990983,162.0297297297297,165.57117117117116,153.4468468468468
Debagarh,1503.3333333333335,1013.6117117117117,105.81801801801801,341.72792792792785,100.68648648648647
Dehra Dun,1817.2954954954953,1342.444144144144,69.84234234234235,287.76126126126127,46.74324324324324
Deoghar,1330.0648648648646,871.3000000000001,114.66306306306306,312.2513513513513,111.04324324324324
Deoria,1171.1837837837834,854.9549549549547,65.41621621621621,225.18918918918922,60.83423423423424
Dewas,1027.045045045045,818.063063063063,52.56666666666666,143.88108108108108,45.399099099099104
Dhalai,2590.718918918917,1060.2846846846846,219.45315315315315,1263.0162162162164,210.4135135135135
Dhamtari,1333.9513513513511,970.0360360360361,75.31261261261258,265.8747747747747,71.57027027027026
Dhanbad,1317.1396396396397,871.8225225225226,104.73333333333333,305.7522522522523,100.35405405405406
Dhar,828.7459459459459,640.6000000000001,48.57297297297298,133.6054054054054,44.84594594594595
Dharmapuri,870.6036036036039,338.4801801801802,312.12432432432433,200.80540540540537,269.8684684684684
Dharwad,721.2153153153153,345.4954954954955,158.40360360360364,212.8864864864865,150.46126126126126
Dhemaji,2729.4423423423427,1314.0405405405402,187.34324324324325,1123.753153153153,170.01981981981982
Dhenkanal,1496.8369369369368,932.3306306306307,166.31711711711714,360.0441441441442,161.45675675675676
Dhubri,2620.0324324324324,1199.063063063063,168.58018018018024,1224.2594594594593,164.32972972972976
Dhule,640.7729729729731,437.6621621621622,61.91351351351352,135.2981981981982,56.73873873873873
Dibang Valley (Anni),2889.8864864864863,1310.8324324324324,202.83153153153157,1243.710810810811,178.09549549549547
Dibrugarh,2554.574774774775,1226.5459459459457,174.10720720720718,1057.791891891892,158.3720720720721
Dimapur,1734.0639639639637,859.9720720720719,164.54234234234232,661.8000000000001,155.0162162162162
Dindigul,873.9081081081081,238.81891891891894,407.28828828828836,190.40090090090092,336.9513513513514
Dindori,1310.1675675675674,957.3468468468468,76.10180180180183,228.07387387387385,66.91351351351351
Diu,705.2027027027027,512.2594594594594,35.685585585585585,155.40270270270264,34.72882882882883
Doda,1109.7351351351351,398.8351351351351,114.69369369369369,363.74954954954967,55.15495495495495
Dohad,879.2747747747749,720.5648648648648,34.20990990990991,121.12342342342343,32.3018018018018
Dumka (Santal Pargana),1460.7063063063065,935.0945945945946,130.84324324324325,364.6045045045045,126.71801801801804
Dungarpur,770.1963963963966,638.7045045045045,27.298198198198197,100.18648648648647,25.548648648648655
