,District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
5042,mansa,1987,30.825333333333333,19.80925,24.22475,33.609750000000005,28.213604745370365,17.679499999999997
5043,mansa,1988,28.646666666666665,19.673,23.225,31.27125,28.07563372878087,17.75125
5044,mansa,1989,28.563333333333333,18.7805,22.87175,31.21425,27.13113614406507,16.334000000000003
5045,mansa,1990,28.559,19.294,22.81025,31.408,27.30526134533876,16.831750000000003
5046,mansa,1991,29.096000000000004,19.2115,23.35075,32.38825,27.656521778778227,17.15975
5047,mansa,1992,28.703000000000003,19.618,23.2595,31.557250000000003,27.491543481564847,17.44225
5048,mansa,1993,29.425333333333334,19.43475,23.139,32.169,28.065211956797068,17.368750000000002
5049,mansa,1994,28.382,19.48975,23.04475,31.50725,27.812517663066416,17.915
5050,mansa,1995,28.777,19.45775,23.56125,32.13575,27.828209805255536,16.94175
5051,mansa,1996,28.848000000000003,18.9225,22.81875,31.41325,27.623267483771297,17.3985
5052,mansa,1997,28.33,17.765249999999998,21.957,31.3645,26.64610562364761,16.25125
5053,mansa,1998,29.38133333333333,19.25975,23.31925,31.9965,27.680508801970635,16.70275
5054,mansa,1999,29.918666666666667,19.6695,24.07975,32.15075,28.320875733497548,17.49475
5055,mansa,2000,29.614666666666665,19.8395,23.8445,31.483,28.094572977791454,17.001
5056,mansa,2001,30.25466666666667,19.82375,24.29025,31.701500000000003,28.05721441481596,17.576749999999997
5057,mansa,2002,29.19333333333333,20.1155,23.53125,32.189,28.350934534568,17.4065
5058,mathura,1985,26.95233333333333,18.636,22.13425,30.286500000000004,25.405666666666665,18.4865
5059,mathura,1986,28.725666666666665,20.13725,23.813,31.078250000000004,27.732805555555554,17.88975
5060,mathura,1987,30.017666666666667,20.34125,24.1915,33.0575,28.90640046296296,18.91675
5061,mathura,1988,28.319,20.2535,23.50975,30.4505,28.456616705246915,19.07525
5062,mathura,1989,28.318,19.33825,23.08725,30.410000000000004,27.51213472543725,17.474249999999998
5063,mathura,1990,27.965333333333334,20.27225,23.19575,30.48975,27.744677893786434,18.29775
5064,mathura,1991,28.216,19.16225,22.95975,31.46725,27.874223157815536,18.00075
5065,mathura,1992,27.840333333333334,19.64875,22.8985,31.0355,27.78801859648463,18.00225
5066,mathura,1993,28.194333333333333,20.10275,23.122,30.80275,28.01750154970706,18.207
5067,mathura,1994,27.851333333333333,20.2935,23.13,30.51025,27.96779179580892,19.0495
5068,mathura,1995,28.369,19.87,23.61275,31.228500000000004,28.008732649650742,17.749499999999998
5069,mathura,1996,27.782666666666668,19.09975,22.66025,29.9555,27.419144387470897,17.877000000000002
5070,mathura,1997,27.575333333333333,18.2455,22.01125,30.293,26.76467869895591,17.0795
5071,mathura,1998,28.505,19.7045,23.496500000000005,30.8765,27.76380655824633,17.479499999999998
5072,mathura,1999,28.532333333333337,19.86425,23.49275,30.98525,28.2638172131872,18.339
5073,mathura,2000,28.794666666666668,20.50475,24.02075,30.363,28.08465143443227,17.88625
5074,mathura,2001,29.353,20.3655,24.30175,30.62325,28.09072095286936,18.47125
5075,mathura,2002,28.345,20.384,23.57825,31.19025000000001,28.55122674607244,18.70875
5076,mau,1985,28.21966666666667,20.96175,23.95275,30.4375,26.40025,20.5185
5077,mau,1986,27.572666666666667,20.54475,23.411249999999995,29.692,27.715104166666663,19.285
5078,mau,1987,28.573666666666668,20.614,23.97875,31.08,28.52825868055556,19.59075
5079,mau,1988,28.818,21.417500000000004,24.6265,30.21325,28.74702155671296,20.212750000000003
5080,mau,1989,28.67233333333333,20.557,24.01725,30.10775,28.23191846305941,18.9215
5081,mau,1990,28.39433333333333,20.9605,23.991,30.1265,28.209659871921616,19.50225
5082,mau,1991,28.12933333333333,20.5235,23.679,30.188,28.30963832266013,19.84025
5083,mau,1992,28.466,20.83475,24.1895,30.231,28.27821986022168,19.2255
5084,mau,1993,28.792,21.27975,24.201,30.725250000000003,28.65426832168514,19.98025
5085,mau,1994,28.361,20.998,23.90275,30.4135,28.708105693473765,20.24375
5086,mau,1995,28.306,20.83475,24.24375,30.6235,28.651925474456142,19.57975
5087,mau,1996,28.21433333333333,20.894500000000004,24.054250000000003,30.0415,28.46666045620468,20.05025
5088,mau,1997,27.94966666666667,20.51075,23.65175,30.9285,28.298221704683723,19.27925
5089,mau,1998,29.265,21.806500000000003,25.18725,30.82175,28.83826847539032,19.72525
5090,mau,1999,28.568,21.74325,24.832500000000003,30.087750000000003,29.01768903961586,20.390500000000003
5091,mau,2000,28.846666666666664,21.89475,24.85025,30.21575,28.861640753301327,19.78825
5092,mau,2001,29.305,22.21925,25.59125,30.2515,29.001220062775108,20.33975
5093,mau,2002,28.32633333333333,21.032,24.04925,30.933000000000003,29.0465183385646,20.17425
5094,mayurbhanj,1985,25.72866666666667,21.4355,23.16825,27.20025,25.333666666666677,22.35975
5095,mayurbhanj,1986,25.816333333333333,20.97625,22.95775,27.2475,27.04155555555556,21.45925
5096,mayurbhanj,1987,26.155666666666665,21.0235,23.09525,27.4805,27.253879629629637,21.002
5097,mayurbhanj,1988,27.57733333333333,22.524,24.790750000000003,27.5875,27.80465663580247,21.83225
5098,mayurbhanj,1989,27.10233333333333,22.0545,24.01925,27.90675,28.437221386316875,22.35975
5099,mayurbhanj,1990,26.663,22.1035,23.7115,27.9405,27.93668511552641,22.04575
5100,mayurbhanj,1991,26.950666666666667,21.46575,23.53075,28.23525,28.30980709296053,22.53825
5101,mayurbhanj,1992,26.94066666666667,21.78775,23.893500000000003,28.137500000000003,28.226567257746712,21.778
5102,mayurbhanj,1993,26.833666666666662,21.98725,23.71125,28.087,28.13704727147889,22.074
5103,mayurbhanj,1994,26.745,22.078000000000003,23.78125,27.774500000000003,28.198170605956573,22.30775
5104,mayurbhanj,1995,26.967,21.7895,23.9095,28.324250000000003,28.234097550496383,21.855
5105,mayurbhanj,1996,26.845333333333333,22.00525,23.8955,28.2085,28.40450812920803,22.36775
5106,mayurbhanj,1997,26.742,22.28025,24.321,28.24925,28.22129234410067,21.96425
5107,mayurbhanj,1998,27.543333333333333,22.38225,24.51475,28.78075,28.547774362008383,21.74
5108,mayurbhanj,1999,26.720333333333333,22.01325,23.96325,27.73825,28.50106453016737,22.7055
5109,mayurbhanj,2000,27.10233333333333,22.392,24.035500000000003,27.96725,28.362005377513945,22.10625
5110,mayurbhanj,2001,27.51566666666667,22.504500000000004,24.7205,27.83375,28.476083781459497,22.369
5111,mayurbhanj,2002,26.77933333333333,22.28975,24.0275,28.0445,28.586840315121623,22.86575
5112,medak,1985,26.399999999999995,24.091,24.921750000000003,27.15475,27.30525,26.08525
5113,medak,1986,27.24766666666667,24.59575,26.0435,27.42675,29.74810416666666,25.26575
5114,medak,1987,27.094666666666665,24.232,25.434500000000003,27.9815,29.71659201388889,24.9235
5115,medak,1988,26.34166666666667,23.8385,24.6085,27.34925,29.76888266782408,25.596
5116,medak,1989,26.235000000000003,24.05125,24.85675,26.77125,29.36257355565201,24.69525
5117,medak,1990,25.979000000000003,24.02575,24.93,26.51525,29.01754779630434,25.241750000000003
5118,medak,1991,26.795666666666666,23.9645,24.9725,27.04575,29.60262898302536,25.53875
5119,medak,1992,26.141666666666666,23.46625,24.55,27.462,29.47105241525212,24.56575
5120,medak,1993,26.31733333333333,23.59975,24.37075,27.573,29.440171034604337,24.396
5121,medak,1994,26.110666666666663,23.159750000000003,24.01225,26.748,29.133014252883694,24.925
